Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time,Model
sweden,1923,1982,Male,100,1,4,8,351.47497838560577,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,9,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,4,10,349.1225454189582,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,1,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,2,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,3,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,4,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,5,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,6,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,7,351.11894571489114,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,8,351.47497838560577,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,9,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,5,10,349.1225454189582,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,2,1,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,2,2,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,2,3,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,2,4,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,2,5,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,2,6,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,2,7,351.11894571489114,09/03/2023,17:03:24,saturated
sweden,1923,1982,Male,100,1,2,8,351.47497838560577,09/03/2023,17:03:24,saturated
