country,first_year_train,last_year_train,sex,max_age,num_basis,tau,latent_dim,forecast_horizon,log_score,date,time,model
sweden,1934,1993,Male,100,5,10.0,5,3,453.3397971406399,15/03/2023,23:08:26,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,4,458.8458763715683,15/03/2023,23:08:26,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,5,466.34831559610654,15/03/2023,23:08:26,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,6,466.2650302541606,15/03/2023,23:08:26,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,7,481.6485273562274,15/03/2023,23:08:26,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,8,484.21013987249256,15/03/2023,23:08:26,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,9,486.5063760189994,15/03/2023,23:08:26,radial_basis
sweden,1934,1993,Male,100,5,10.0,5,10,487.4685797061425,15/03/2023,23:08:26,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,1,414.80187896929687,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,2,422.9659742624281,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,3,432.0687896829336,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,4,432.3466764832875,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,5,435.0231504590144,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,6,452.5310729708326,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,7,463.45229441102794,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,8,472.48542661912506,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,9,465.19314556840493,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,3,10,488.17381529681614,15/03/2023,23:11:14,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,1,425.21054865580686,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,2,435.25042413583446,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,3,443.18832180242106,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,4,439.5212174600732,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,5,444.3534766594595,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,6,465.0441233915955,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,7,479.95250418214164,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,8,480.38514991890344,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,9,477.7460073440241,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,5,10.0,4,10,503.7718197654252,15/03/2023,23:18:37,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,1,414.44421015342584,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,2,429.52899778445993,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,3,435.238641351095,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,4,438.2740643476136,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,5,440.62121237606766,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,6,457.5047714437427,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,7,466.0378616059654,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,8,475.0435959505143,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,9,466.5145192241849,15/03/2023,23:22:45,radial_basis
sweden,1935,1994,Male,100,10,10.0,3,10,492.6470591938739,15/03/2023,23:22:45,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,1,454.1338322800268,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,2,437.78077731529106,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,3,452.60228899237853,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,4,463.7084768074586,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,5,475.44740648134746,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,6,485.37847008078603,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,7,511.2519694009827,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,8,515.7867709651084,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,9,516.9265666300746,15/03/2023,23:36:40,radial_basis
sweden,1934,1993,Male,100,15,10.0,5,10,521.4310851586845,15/03/2023,23:36:40,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,1,415.85169502046705,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,2,422.56165471706004,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,3,432.2487184555784,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,4,440.4162713482385,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,5,449.03447203385986,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,6,471.64670347250564,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,7,476.0686951070646,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,8,485.6400578378936,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,9,487.19684671349154,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,15,10.0,4,10,514.8144920763181,15/03/2023,23:43:41,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,1,419.10477939315587,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,2,434.6357933795001,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,3,442.15068727475244,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,4,446.13365126710335,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,5,447.90566655628356,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,6,473.24928921278723,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,7,475.0169337960686,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,8,485.3370808271879,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,9,479.2687252846435,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,10,10.0,4,10,503.63644079489256,15/03/2023,23:44:18,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,1,421.0722002751219,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,2,432.8147898540563,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,3,442.39143827593915,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,4,452.84538183873167,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,5,457.2160670028027,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,6,472.1369285594184,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,7,476.7148921779168,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,8,482.9460639080889,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,9,483.6911636921203,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,5,10.0,5,10,499.328110927454,15/03/2023,23:47:06,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,1,421.63792177635224,15/03/2023,23:49:17,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,2,418.47828227388516,15/03/2023,23:49:17,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,3,423.3848365645656,15/03/2023,23:49:17,radial_basis
