country,first_year_train,last_year_train,sex,max_age,nn_layers,latent_dim,forecast_horizon,log_score,date,time
sweden,1932,1991,Male,100,1,9,10,514.8432749241358,05/02/2023,22:08:47
sweden,1933,1992,Male,100,1,2,1,492.83852928592734,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,2,514.8730031240204,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,3,504.6922076817407,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,4,546.0816636850126,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,5,562.3862774863394,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,6,584.5411802983485,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,7,603.785170372639,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,8,664.5086149149217,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,9,682.2300836538166,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,2,10,705.7908616378198,05/02/2023,22:10:39
sweden,1933,1992,Male,100,1,1,1,540.492314855684,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,2,627.4153157190076,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,3,585.3419814379306,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,4,625.2814123944754,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,5,645.5742043296608,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,6,673.7028859147036,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,7,709.8615464024334,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,8,821.115858092355,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,9,870.0905039404756,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,1,10,874.0873913471643,05/02/2023,22:10:52
sweden,1933,1992,Male,100,1,3,1,427.45125838149175,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,2,442.56312347451205,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,3,435.1414388309301,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,4,453.67946452815687,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,5,460.7443534421486,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,6,458.6034329156952,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,7,469.22383370097805,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,8,496.33693800476857,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,9,499.748142371805,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,3,10,513.6319575081795,05/02/2023,22:22:07
sweden,1933,1992,Male,100,1,4,1,422.1843791758246,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,2,439.3459878790123,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,3,435.0633982662938,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,4,449.7996822095665,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,5,458.0850065242423,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,6,459.19640145459863,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,7,465.69320834683487,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,8,485.444438311939,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,9,489.95438849980354,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,4,10,501.34732423684443,06/02/2023,07:47:58
sweden,1933,1992,Male,100,1,5,1,427.48292262797804,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,5,2,441.9406289202929,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,5,3,436.07108301217426,06/02/2023,08:11:19
