Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time
sweden,1946,2005,Male,100,0,0,5,-496.7880684594175,03/08/2023,16:08:36
sweden,1946,2005,Male,100,0,0,6,-511.3275263495455,03/08/2023,16:08:36
sweden,1946,2005,Male,100,0,0,7,-527.5403866478442,03/08/2023,16:08:36
sweden,1946,2005,Male,100,0,0,8,-545.1299177986432,03/08/2023,16:08:36
sweden,1946,2005,Male,100,0,0,9,-563.6361838534493,03/08/2023,16:08:36
sweden,1946,2005,Male,100,0,0,10,-570.777124131475,03/08/2023,16:08:36
sweden,1947,2006,Male,100,0,0,1,-461.7558604216114,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,2,-460.95533343818136,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,3,-522.2774035617332,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,4,-473.714228026679,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,5,-482.89613628965515,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,6,-505.57457979777354,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,7,-514.5981900062258,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,8,-526.3547173562241,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,9,-543.4562615618313,03/09/2023,16:09:40
sweden,1947,2006,Male,100,0,0,10,-539.5436990120448,03/09/2023,16:09:40
sweden,1948,2007,Male,100,0,0,1,-452.01476980404385,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,2,-510.2192009341664,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,3,-457.79713378597904,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,4,-468.6977419853659,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,5,-490.5835313283356,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,6,-503.09994412335993,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,7,-514.7308855229844,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,8,-529.4014467375703,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,9,-531.9164295599106,03/10/2023,16:10:46
sweden,1948,2007,Male,100,0,0,10,-561.2634183693622,03/10/2023,16:10:46
sweden,1949,2008,Male,100,0,0,1,-500.86349390528574,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,2,-452.3461858032396,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,3,-457.64403973645085,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,4,-474.7697375447562,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,5,-481.9231664323572,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,6,-497.1078321772012,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,7,-513.486445592873,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,8,-521.5938998963004,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,9,-546.8626992883298,03/11/2023,16:11:53
sweden,1949,2008,Male,100,0,0,10,-518.9548886652781,03/11/2023,16:11:53
sweden,1950,2009,Male,100,0,0,1,-445.0593490074783,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,2,-442.07601247276864,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,3,-466.3165728682984,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,4,-474.3156907313443,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,5,-481.4288845216499,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,6,-501.1064789181638,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,7,-507.57051360479034,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,8,-526.174222795964,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,9,-498.5388336835222,03/12/2023,16:12:59
sweden,1950,2009,Male,100,0,0,10,-536.4940500808235,03/12/2023,16:12:59
sweden,1951,2010,Male,100,0,0,1,-437.63153721134233,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,2,-461.21037506580444,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,3,-468.3377233057429,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,4,-473.5025897714963,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,5,-490.3962730403441,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,6,-501.176231510356,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,7,-516.7200427175222,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,8,-488.86813500716795,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,9,-529.4921436764571,03/14/2023,16:14:03
sweden,1951,2010,Male,100,0,0,10,-480.1968652280643,03/14/2023,16:14:03
