country,first_year_train,last_year_train,sex,max_age,forecast_horizon,log_score,date,time,model
sweden,1935,1994,Male,100,5,-452.8616796805629,02/14/2023,17:14:39,PLAT
sweden,1935,1994,Male,100,6,-495.44392356804724,02/14/2023,17:14:39,PLAT
sweden,1935,1994,Male,100,7,-491.8658200887168,02/14/2023,17:14:39,PLAT
sweden,1935,1994,Male,100,8,-511.9921506917429,02/14/2023,17:14:39,PLAT
sweden,1935,1994,Male,100,9,-487.49541481580576,02/14/2023,17:14:39,PLAT
sweden,1935,1994,Male,100,10,-526.805663539198,02/14/2023,17:14:39,PLAT
sweden,1936,1995,Male,100,1,-414.2586848495673,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,2,-432.1794789313375,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,3,-447.9793324681128,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,4,-445.4739423018122,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,5,-491.39818803815825,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,6,-490.24604584857747,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,7,-508.3426142060965,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,8,-484.16985729210256,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,9,-526.7855226335876,02/16/2023,17:16:08,PLAT
sweden,1936,1995,Male,100,10,-518.951743960684,02/16/2023,17:16:08,PLAT
sweden,1937,1996,Male,100,1,-421.1731571732816,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,2,-433.192517134073,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,3,-431.8664956159512,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,4,-475.99345679386965,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,5,-478.40713822809124,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,6,-493.38924399194894,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,7,-469.4459241458863,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,8,-511.84076477751194,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,9,-504.51891566561414,02/17/2023,17:17:36,PLAT
sweden,1937,1996,Male,100,10,-513.0748298120401,02/17/2023,17:17:36,PLAT
sweden,1938,1997,Male,100,1,-422.3795564263807,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,2,-422.43841225336246,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,3,-467.51086687857475,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,4,-469.20466702635855,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,5,-485.27471304400814,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,6,-461.0353872178825,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,7,-504.0229618454343,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,8,-494.8174804560183,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,9,-504.1085030881075,02/19/2023,17:19:04,PLAT
sweden,1938,1997,Male,100,10,-522.3561537520602,02/19/2023,17:19:04,PLAT
sweden,1939,1998,Male,100,1,-410.48058195234114,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,2,-450.83572830172386,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,3,-453.86407883794743,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,4,-466.843345269313,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,5,-443.612448404666,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,6,-487.9887512736897,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,7,-476.0935375014613,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,8,-484.4288635122337,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,9,-502.86628910904795,02/20/2023,17:20:33,PLAT
sweden,1939,1998,Male,100,10,-516.6536293477598,02/20/2023,17:20:33,PLAT
sweden,1940,1999,Male,100,1,-442.3089899606806,02/22/2023,17:22:01,PLAT
sweden,1940,1999,Male,100,2,-447.4656990819804,02/22/2023,17:22:01,PLAT
sweden,1940,1999,Male,100,3,-459.62435706543044,02/22/2023,17:22:01,PLAT
sweden,1940,1999,Male,100,4,-436.46630635784,02/22/2023,17:22:01,PLAT
